id,difficulty,domain,spanish_text,english_text
1,easy,frontend,El usuario hace clic en el boton de guardar,The user clicks the save button
2,easy,frontend,La pagina muestra un mensaje de error simple,The page shows a simple error message
3,easy,frontend,El formulario tiene un campo de correo obligatorio,The form has a required email field
4,easy,frontend,El boton de enviar cambia de color al pasar el raton,The submit button changes color on hover
5,easy,frontend,El menu principal se abre al hacer clic en el icono,The main menu opens when you click the icon
6,easy,backend,La aplicacion guarda la sesion del usuario en memoria,The application stores the user session in memory
7,easy,backend,La base de datos guarda la informacion del perfil,The database stores the profile information
8,easy,backend,La API responde con una lista de usuarios activos,The API responds with a list of active users
9,easy,backend,El servidor devuelve un codigo de estado exitoso,The server returns a successful status code
10,easy,backend,El servicio valida la contrasena antes de iniciar sesion,The service validates the password before login
11,easy,cloud,El sistema crea una copia de seguridad diaria,The system creates a daily backup
12,easy,cloud,La aplicacion se ejecuta en una maquina virtual pequena,The application runs on a small virtual machine
13,easy,cloud,El archivo se sube a un almacenamiento compartido,The file is uploaded to a shared storage
14,easy,cloud,El servidor en la nube tiene un limite de memoria,The cloud server has a memory limit
15,easy,cloud,La aplicacion se despliega en una sola region,The application is deployed in a single region
16,easy,frontend,El usuario puede cerrar sesion desde la barra superior,The user can log out from the top bar
17,easy,frontend,La pagina muestra un indicador de carga sencillo,The page shows a simple loading indicator
18,easy,backend,La API registra cada inicio de sesion exitoso,The API logs each successful login
19,easy,backend,El sistema envia un correo de bienvenida al registro,The system sends a welcome email on signup
20,easy,cloud,La aplicacion en la nube usa una base de datos gestionada,The cloud application uses a managed database
21,intermediate,frontend,El frontend consume una API que devuelve datos en formato JSON,The frontend consumes an API that returns data in JSON format
22,intermediate,frontend,El desarrollador separa la logica de presentacion en componentes reutilizables,The developer splits the presentation logic into reusable components
23,intermediate,frontend,La tabla se actualiza cuando cambia el estado global de la aplicacion,The table updates when the global application state changes
24,intermediate,frontend,El disenador pide que los botones tengan el mismo ancho en escritorio,The designer asks that the buttons have the same width on desktop
25,intermediate,frontend,La pagina usa un sistema de diseno responsivo para moviles y tabletas,The page uses a responsive design system for mobiles and tablets
26,intermediate,backend,El backend expone un endpoint para actualizar el estado de un pedido,The backend exposes an endpoint to update the status of an order
27,intermediate,backend,El servicio aplica reglas de negocio antes de guardar los datos,The service applies business rules before saving the data
28,intermediate,backend,La capa de acceso a datos usa consultas preparadas para evitar errores,The data access layer uses prepared queries to avoid errors
29,intermediate,backend,El microservicio de pagos registra cada transaccion en un historial,The payments microservice records each transaction in a history
30,intermediate,backend,La API devuelve un error claro cuando falta un parametro requerido,The API returns a clear error when a required parameter is missing
31,intermediate,cloud,La infraestructura en la nube escala horizontalmente cuando sube el trafico,The cloud infrastructure scales horizontally when the traffic increases
32,intermediate,cloud,El balanceador de carga distribuye las peticiones entre varias instancias,The load balancer distributes the requests across several instances
33,intermediate,cloud,El equipo configura monitoreo basico para revisar el uso de recursos,The team configures basic monitoring to check resource usage
34,intermediate,cloud,El servicio en la nube usa variables de entorno para las credenciales,The cloud service uses environment variables for the credentials
35,intermediate,cloud,La aplicacion se despliega automaticamente despues de cada fusion a main,The application is deployed automatically after each merge to main
36,intermediate,frontend,El formulario valida que el correo tenga un formato correcto en tiempo real,The form validates that the email has a correct format in real time
37,intermediate,frontend,La tabla de usuarios permite ordenar las filas por varias columnas,The users table allows sorting the rows by several columns
38,intermediate,frontend,El componente de busqueda retrasa la llamada a la API unos segundos,The search component delays the API call for a few seconds
39,intermediate,backend,El backend genera un token simple para mantener la sesion del usuario,The backend generates a simple token to keep the user session
40,intermediate,backend,El microservicio de reportes tarda mas cuando hay muchos registros,The reports microservice takes longer when there are many records
41,intermediate,cloud,La base de datos replica los datos en una instancia secundaria de lectura,The database replicates the data to a secondary read only instance
42,intermediate,cloud,El sistema en la nube ejecuta tareas programadas cada noche,The cloud system runs scheduled tasks every night
43,intermediate,cloud,El equipo define cuotas para limitar el numero de peticiones por usuario,The team defines quotas to limit the number of requests per user
44,intermediate,frontend,El frontend muestra un mensaje si la conexion con el servidor falla,The frontend shows a message if the connection to the server fails
45,intermediate,frontend,El usuario puede filtrar la lista por estado y por fecha de creacion,The user can filter the list by status and by creation date
46,intermediate,backend,El backend transforma la informacion antes de enviarla al cliente,The backend transforms the information before sending it to the client
47,intermediate,backend,El servicio de autenticacion invalida el token cuando el usuario cierra sesion,The authentication service invalidates the token when the user logs out
48,intermediate,backend,La capa de dominio valida que el monto de la orden sea positivo,The domain layer validates that the order amount is positive
49,intermediate,cloud,La aplicacion crea una cola simple para procesar tareas en segundo plano,The application creates a simple queue to process background tasks
50,intermediate,cloud,El sistema en la nube guarda los archivos en un almacenamiento de objetos,The cloud system stores files in an object storage
51,intermediate,frontend,El panel de control muestra metricas basicas de uso y rendimiento,The dashboard shows basic metrics of usage and performance
52,intermediate,frontend,El usuario puede cambiar el idioma de la interfaz desde la configuracion,The user can change the interface language from the settings
53,intermediate,backend,El servidor registra cada fallo en un archivo de logs centralizado,The server logs each failure in a centralized log file
54,intermediate,backend,La API aplica limites de velocidad para protegerse de abusos,The API applies rate limits to protect itself from abuse
55,intermediate,cloud,El sistema crea una nueva instancia cuando la carga supera un umbral,The system creates a new instance when the load passes a threshold
56,intermediate,cloud,La aplicacion usa un cache en memoria para respuestas frecuentes,The application uses an in memory cache for frequent responses
57,intermediate,cloud,El equipo configura alertas cuando el uso de CPU es demasiado alto,The team sets alerts when CPU usage is too high
58,intermediate,frontend,El frontend muestra sugerencias mientras el usuario escribe en el buscador,The frontend shows suggestions while the user types in the search box
59,intermediate,frontend,La pagina oculta campos avanzados para no confundir a los usuarios nuevos,The page hides advanced fields to avoid confusing new users
60,intermediate,backend,El microservicio de notificaciones envia correos solo en horario laboral,The notifications microservice sends emails only during working hours
